Spanish,English
tenía,had
mal,evil
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,mother
tienen,have
luego,then
todas,all
allí,over there
toda,all
hora,hour
mujer,women
visto,seen
haces,you do
importa,matters
contigo,with you
ve,go
tarde,late
oye,hey
parte,part
haber,to have
hombres,men
problema,problem
mas,further
saber,know
quería,wanted to
aún,still
veces,times
nuestra,our
hacerlo,do it
cada,each
hizo,did
veo,I see
tanto,so much
razón,reason
ustedes,you
idea,idea
esos,those
van,go
quizá,maybe
debo,I must
alguna,some
cierto,TRUE
ud,You
muerto,dead
unos,some
estos,these
salir,go out
policía,police
realmente,really
demasiado,too much
familia,family
pueden,they can
cabeza,head
hemos,we have
amigos,friends
chica,girl
cariño,dear
lado,side
allá,there
entre,between
minutos,minutes
digo,say
algún,some
serio,Serious
cuidado,careful
pasó,passed
buenas,hello good
somos,are
amor,love
puerta,door
ves,you see
vaya,Oh
ah,oh
suerte,luck
eh,Hey
rápido,fast
cuenta,account
quizás,maybe
esas,those
pues,well
pasado,past
pensé,I thought
todavía,still
hermano,brother
debes,you must
casi,almost
forma,shape
aqui,here
chico,boy
ok,okay
dicho,saying
nueva,new
sabía,knew
muchas,many
dentro,inside
hice,I did
contra,against
auto,car
camino,path
ayuda,aid
primera,first
hacia,toward
vi,saw
miedo,fear
adiós,bye
primero,first
debería,ought
poder,can
niños,children
sería,I would be
historia,history
hey,hey
mientras,while
ciudad,city
dijiste,said
espero,wait
cuánto,how much
esposa,wife
pronto,soon
chicos,guys
cualquier,any
viejo,old
debemos,must
deja,leaves
año,year
muerte,death
hablando,talking
manos,hands
da,gives
loco,crazy
problemas,issues
mano,hand
guerra,war
semana,week
pasar,pass
vale,OK
cuál,which
viene,comes
volver,return
toma,take
caso,case
agua,water
haré,I will do
vete,go away
entiendo,I understand
horas,hours
personas,people
capitán,captain
adelante,forward
niño,child
listo,ready
noches,nights
buenos,good
iba,I was going
juntos,together
dame,give to me
único,only
déjame,let me
cerca,near
otros,others
sigue,go on
grande,big
arriba,above
jefe,boss
habla,speaks
supongo,i guess
manera,manner
quieren,they want
feliz,happy
significa,means
sangre,blood
fin,end
bajo,low
llama,calls
venir,come
morir,die
importante,important
hiciste,did
ojos,eyes
escucha,listen
entrar,get in
ningún,none
corazón,heart
diablos,Devils
necesitamos,need
atrás,back
durante,during
dices,you say
nuestros,our
persona,person
abajo,below
dr,dr
hija,daughter
dejar,leave
necesita,needs
llegar,arrive
hago,do
señora,lady
haya,is
suficiente,enough
doctor,doctor
gustaría,would like
tierra,land
cara,expensive
siquiera,even
genial,brilliant
cree,believe
supuesto,supposed
tomar,take
equipo,equipment
justo,fair
juego,game
ninguna,none
matar,kill
cinco,five
dicen,they say
amo,love
cuándo,when
pequeño,little
algunos,some
conozco,know
clase,class
maldito,damned
unas,nails
muchos,many
hubiera,had
segundo,second
aunque,although
pueda,can
dime,tell me
igual,equal
comida,meal
ay,Oh
cuerpo,body
encontrar,find
fuerte,strong
vuelta,lap
venga,come on
creer,believe
realidad,reality
saben,they know
puta,bitch
deberías,you should
pregunta,ask
fui,I was
cuatro,four
sra,mrs
primer,first
trabajar,work
e,and
hagas,you do
alto,high
maldita,damned
comer,eat
número,number
dar,give
necesitas,you need
oportunidad,chance
punto,spot
misma,same
última,last
afuera,outside
mujeres,women
pensar,think
fueron,were
difícil,difficult
vivir,live
paso,passed
malo,bad
estabas,you were
vivo,alive
haga,make
queda,is left over
hijos,children
mayor,elderly
fiesta,party
hacen,do
medio,half
algunas,some
basta,Enough
arma,weapon
vino,came
meses,months
cuarto,room
éste,this
escuela,school
esté,this
dólares,Dollars
tío,uncle
posible,possible
